sourceId;lat;lon;elev;value;prid;dqc
METSN12960:0;61.1638;10.7088;930;-0.9;1;0
METSN4785:0;60.2105;11.0782;203;2.6;1;0
METSN27420:0;59.1205;10.398;32;5.7;1;0
METSN15430:0;61.7195;8.2423;700;-2.1;1;0
METSN60500:0;62.2305;7.4218;11;9.7;1;0
METSN58960:0;62.0033;6.6502;349;5.2;1;0
METSN43350:0;58.4352;5.8718;49;6.8;1;0
METSN20540:0;60.3558;10.5592;245;3.4;1;0
METSN27316:0;59.371;10.2692;30;3.8;1;0
METSN77230:0;65.7842;13.218;72;2.5;1;0
METSN63705:0;62.6027;9.666;604;3.4;1;0
METSN13030:0;61.2247;10.2588;375;1.1;1;0
METSN40510:0;59.3335;6.8817;1105;-1.2;1;0
METSN26580:0;59.731;10.2142;14;2.7;1;0
METSN80700:0;66.8102;13.9793;39;3.4;1;0
METSN26820:0;59.7613;9.8922;15;2.7;1;0
METSN10380:0;62.5773;11.3518;625;1.5;1;0
METSN4735:0;60.1705;11.1105;204;2.7;1;0
METSN98790:0;70.0653;29.8352;39;-7.3;1;0
METSN66150:0;63.3153;9.8495;4;2.3;1;0
METSN30650:0;59.5666;9.2111;20;3.9;1;0
METSN17380:0;59.398;10.7543;35;4.6;1;0
METSN76240:0;65.22;11.9927;302;3.2;1;0
METSN36560:0;58.6582;8.63;142;4.4;1;0
METSN98360:0;70.6028;29.7;152;-9.4;1;0
METSN26840:0;59.7658;10.0123;139;4.1;1;0
METSN69100:0;63.4597;10.9305;12;7;1;0
METSN69150:0;63.4882;10.8795;27;6.4;1;0
METSN58900:0;61.9157;6.5585;208;6.4;1;0
METSN16271:0;61.8883;9.4798;940;-0.6;1;0
METSN77280:0;65.6215;13.2892;50;3;1;0
METSN94230:0;70.4107;22.8177;18;-7.3;1;0
METSN27120:0;59.4283;10.3847;70;4;1;0
METSN50810:0;60.4742;5.3418;90;5.5;1;0
METSN55290:0;61.5648;7.9957;1413;-3.2;1;0
METSN27282:0;59.2632;10.3603;30;4.1;1;0
METSN51990:0;60.8655;6.4733;700;2.2;1;0
METSN98976:0;70.306;29.1003;268;-11.2;1;0
METSN11450:0;60.3943;11.2302;143;3.2;1;0
METSN34130:0;58.8565;9.5745;3;6.1;1;0
METSN16400:0;62.0172;9.2143;560;2.4;1;0
METSN16560:0;62.07165;9.1147;638;1.6;1;0
METSN50175:0;60.0167;5.2038;32;6.7;1;0
METSN65940:0;63.8467;8.4667;5;6.5;1;0
METSN23550:0;61.2508;8.9228;965;-1.6;1;0
METSN42160:0;58.109;6.5675;14;7;1;0
METSN55700:0;61.158;7.1413;497;4.4;1;0
METSN56420:0;61.2928;5.0443;7;6.1;1;0
METSN71990:0;64.4013;10.455;18;7.2;1;0
METSN91120:0;69.55991;20.15185;670;-12.1;1;0
METSN32061:0;59.3822;9.2118;94;4.3;1;0
METSN23420:0;60.9785;9.224;358;-0.7;1;0
METSN210:0;61.3188;12.1887;1020;-1.6;1;0
METSN98978:0;70.3357;28.9648;470;-12.6;1;0
METSN90100:0;69.414;18.6773;124;-5.4;1;0
METSN27435:0;59.2417;10.4023;25;4.7;1;0
METSN80610:0;66.7628;12.486;17;4.3;1;0
METSN75220:0;64.835;11.1408;4;5.4;1;0
METSN88450:0;69.2805;17.0715;4;-0.8;1;0
METSN23500:0;61.122;9.063;521;-0.9;1;0
METSN12700:0;61.104;10.5112;507;1.3;1;0
METSN67560:0;62.9763;10.5608;127;4.3;1;0
METSN66760:0;62.6597;9.8203;660;1.7;1;0
METSN61410:0;62.4555;7.7703;1294;-2.1;1;0
METSN19470:0;59.9603;10.5357;262;1.4;1;0
METSN50070:0;60.3632;6.2805;49;6;1;0
METSN59450:0;62.1467;5.2115;75;7.9;1;0
METSN61630:0;62.2583;8.2;579;3.2;1;0
METSN51530:0;60.6252;6.4265;54;2.7;1;0
METSN12710:0;61.1431;10.5143;562;1;1;0
METSN58070:0;61.7873;6.1835;51;6.7;1;0
METSN27270:0;59.2782;10.4312;3;4.7;1;0
METSN10800:0;62.6793;11.8153;747;0.3;1;0
METSN93140:0;69.9775;23.3582;3;-8.4;1;0
METSN30330:0;59.2268;9.5772;41;4.1;1;0
METSN93301:0;69.5797;23.5345;381;-12.1;1;0
METSN90495:0;69.6942;18.982;80;-3.3;1;0
METSN25830:0;60.5938;7.527;1210;-1.7;1;0
METSN7420:0;61.3763;11.4992;872;-1;1;0
METSN49360:0;60.1173;6.5742;147;4.1;1;0
METSN24710:0;60.383;9.605;142;1.8;1;0
METSN91522:0;69.5417;20.5507;14;-5.6;1;0
METSN33950:0;59.8118;7.2143;990;-0.7;1;0
METSN85840:0;67.6527;12.7228;4;3.4;1;0
METSN90110:0;69.4229;18.6208;740;-12.7;1;0
METSN58860:0;61.8902;6.1065;1020;0.7;1;0
METSN17000:0;59.1513;10.8288;10;5.3;1;0
METSN50539:0;60.3837;5.332;46;7.1;1;0
METSN99600:0;69.8043;28.9937;321;-12.9;1;0
METSN88690:0;69.6005;17.8312;33;-2.4;1;0
METSN16610:0;62.1133;9.2862;973;-0.7;1;0
METSN26780:0;59.7655;10.0582;54;2.5;1;0
METSN89350:0;69.0577;18.5437;76;-4.9;1;0
METSN38730:0;58.6007;8.4167;162;3.6;1;0
METSN91251:0;69.4722;20.5268;72;-5.5;1;0
METSN53480:0;60.7192;7.2085;960;1;1;0
METSN27281:0;59.3173;10.3957;60;4.5;1;0
METSN57810:0;61.7707;5.2983;16;7.7;1;0
METSN13160:0;61.4648;10.1277;1030;-1.7;1;0
METSN27450:0;59.23;10.3483;26;4.7;1;0
METSN9160:0;62.1282;9.9947;694;0.2;1;0
METSN72580:0;64.4708;11.5705;2;4.7;1;0
METSN85890:0;67.5267;12.1038;4;4;1;0
METSN30860:0;59.8861;9.058;514;1.4;1;0
