sourceId;lon;lat;elev;value;prid;dqc;sct;rep
SN85380:0;14.6485;68.1535;11;9;1;0;0.1;0.25
SN85450:0;14.6693;68.2453;9;8.9;1;0;0.1;0.25
SN85560:0;13.615;68.155;26;9.6;1;0;1.55;0.73743
SN85840:0;12.7228;67.6527;4;9.2;1;0;1.55;0.86872
SN85890:0;12.1038;67.5267;4;10;1;0;0.17;0.31285
SN86500:0;15.4157;68.7033;3;9.7;1;0;3.1;1
SN86600:0;15.0293;68.58;3;9.1;1;0;0.03;0.25
SN86740:0;14.4333;68.6067;8;9;1;0;0.02;0.25
SN87110:0;16.1312;69.3073;10;9;1;0;0.04;0.25838
SN87120:0;16.003;69.2413;436;6.1;1;0;0.17;0.44972
SN87640:0;16.5373;68.8027;45;8.9;1;0;0.53;0.27095
SN88690:0;17.8303;69.6013;14;9.3;1;0;2.49;1
SN89010:0;18.1288;69.2897;982;3.9;1;0;2.03;1
SN89350:0;18.5437;69.0577;76;11.6;1;0;0.6;0.3757
SN89940:0;19.7017;68.7817;204;11.1;1;0;0.11;0.25
SN90400:0;18.9095;69.6538;20;11.7;1;0;0.12;0.44134
SN90450:0;18.9368;69.6536;100;11.8;1;0;2.49;1
SN90490:0;18.9133;69.6767;8;11.4;1;0;1.66;0.46369
SN90800:0;19.4997;70.2452;21;10.2;1;0;0.53;0.50279
SN91130:0;20.094;69.5588;710;8.8;1;0;0.02;0.26117
SN91380:0;20.2823;69.3875;20;12.4;1;0;0.25;0.25
SN91500:0;20.4253;69.5738;697;9.2;1;0;0.18;0.48324
SN9160:0;9.9947;62.1282;694;9.3;1;0;0;0.25
SN91740:0;20.9553;69.7887;6;12.2;1;0;0.05;0.25
SN92350:0;21.8925;69.8353;6;12.2;1;0;1.97;1
SN92750:0;22.1457;70.4865;6;13.4;1;0;0.76;0.2919
SN93000:0;22.4428;70.607;438;10.4;1;0;0.02;0.25
SN9310:0;9.5423;62.2207;1012;5.8;1;0;2.95;1
SN93140:0;23.3582;69.9775;3;14.7;1;0;0.33;0.43575
SN93301:0;23.5345;69.5797;381;13.7;1;0;0.95;0.65363
SN93700:0;23.0335;68.9968;307;14.2;1;0;2.28;1
SN93900:0;23.5387;68.7553;382;13;1;0;1.55;0.81844
SN94230:0;22.8177;70.4107;18;12.3;1;0;2.61;1
SN94280:0;23.6772;70.6807;81;13.7;1;0;2.05;1
SN94500:0;23.9817;71.0937;13;9;1;0;-1;NA
SN94680:0;25.9782;71.0105;14;10.5;1;0;-1;NA
SN95350:0;24.99;70.06;5;13.5;1;0;3.27;1
SN9580:0;10.732;62.2695;482;11.1;1;0;0;0.25
SN96310:0;27.8298;71.033;13;10.7;1;0;1.55;0.84916
SN96400:0;28.217;71.0888;8;8.4;1;0;1.55;0.75698
SN96560:0;28.2527;71.0645;22;NA;1;1;NA;NA
SN96850:0;28.159;70.2122;32;14.3;1;0;0.86;1
SN97251:0;25.5023;69.4635;131;15.8;1;0;1.78;1
SN97350:0;24.4312;69.3695;286;14;1;0;0.23;0.37849
SN97710:0;25.346;69.3003;591;12.3;1;0;0.67;0.57263
SN98090:0;29.0348;70.8708;13;9.3;1;0;-1;NA
SN98360:0;29.7;70.6028;152;9.4;1;0;0;0.25
SN98400:0;30.07;70.7057;9;9.7;1;0;0.79;1
SN98550:0;31.0962;70.3707;10;9.4;1;0;0.21;0.67877
SN98580:0;31.044;70.3545;12;9.6;1;0;0.01;0.26397
SN98790:0;29.8352;70.0653;39;12.6;1;0;2.31;1
SN99370:0;29.8977;69.7255;89;13.6;1;0;2.2;1
SN99460:0;30.041;69.4552;27;15.3;1;0;0.68;0.36034
SN99540:0;29.244;69.147;56;15.8;1;0;0.38;0.52793
SN100:0;12.5039;61.1349;333;NA;2;1;NA;NA
SN10300:0;11.7752;62.4698;650;NA;2;1;NA;NA
SN1080:0;11.0444;59.0367;17;NA;2;1;NA;NA
SN11710:0;10.6403;60.5952;406;NA;2;1;NA;NA
SN11900:0;10.5954;60.9518;190;NA;2;1;NA;NA
SN13060:0;10.1732;61.2732;575;NA;2;1;NA;NA
SN13140:0;10.1902;61.4567;187;NA;2;1;NA;NA
SN13310:0;10.3097;61.4628;770;NA;2;1;NA;NA
SN13450:0;9.9712;61.6585;666;NA;2;1;NA;NA
SN13700:0;9.5408;61.4177;752;NA;2;1;NA;NA
SN14050:0;9.5562;61.6757;330;NA;2;1;NA;NA
SN14550:0;9.0084;61.9225;823;NA;2;1;NA;NA
SN14711:0;9.0133;61.8135;811;NA;2;1;NA;NA
SN15480:0;8.4672;61.8777;374;NA;2;1;NA;NA
SN15660:0;8.1706;61.9013;432;NA;2;1;NA;NA
SN16271:0;9.4798;61.8883;940;6.5;2;7;1.29;0.60615
SN16790:0;8.919;62.1057;551;NA;2;1;NA;NA
SN17500:0;11.0133;59.4963;131;NA;2;1;NA;NA
SN18210:0;10.804;59.923;100;15.6;2;0;1.11;2
SN18815:0;10.6828;59.905;15;16.2;2;0;1.81;2
SN20250:0;10.2948;60.1088;66;NA;2;1;NA;NA
SN20520:0;10.5753;60.295;372;NA;2;1;NA;NA
SN22730:0;9.7238;60.6197;474;NA;2;1;NA;NA
SN22790:0;9.7492;60.6657;172;NA;2;1;NA;NA
SN22840:0;9.4905;60.8346;628;NA;2;1;NA;NA
SN23560:0;8.8557;61.2433;754;NA;2;1;NA;NA
SN23720:0;8.569;61.124;489;NA;2;1;NA;NA
SN24210:0;9.9267;60.238;140;NA;2;1;NA;NA
SN24600:0;9.5958;60.137;367;NA;2;1;NA;NA
SN24960:0;8.9478;60.7188;542;NA;2;1;NA;NA
SN250:0;12.3785;61.4188;664;NA;2;1;NA;NA
SN25100:0;8.5285;60.8703;648;NA;2;1;NA;NA
SN25115:0;8.4968;60.8397;1344;2.1;2;7;6.74;2
SN25320:0;8.5609;60.6391;720;NA;2;1;NA;NA
SN27301:0;10.2501;59.3562;30;NA;2;1;NA;NA
SN27770:0;10.2022;59.2752;90;NA;2;1;NA;NA
SN27800:0;9.9641;59.196;31;NA;2;1;NA;NA
SN29600:0;8.7511;60.4629;870;NA;2;1;NA;NA
SN30380:0;9.5337;59.4558;475;NA;2;1;NA;NA
SN31080:0;8.7033;60.1293;762;NA;2;1;NA;NA
SN31400:0;8.6978;59.8655;1008;5.8;2;7;5.83;2
SN31570:0;8.1363;59.815;946;NA;2;1;NA;NA
SN31900:0;8.8083;59.7463;464;NA;2;1;NA;NA
SN32350:0;8.3768;59.6478;567;NA;2;1;NA;NA
SN32780:0;9.2668;59.1444;113;NA;2;1;NA;NA
SN32850:0;8.473;59.4058;77;NA;2;1;NA;NA
SN33250:0;8.0317;59.7057;715;NA;2;1;NA;NA
SN33300:0;7.8173;59.7675;1340;1;2;7;5.2;2
SN34580:0;9.0687;59.0767;65;NA;2;1;NA;NA
SN34900:0;8.7686;59.2647;464;NA;2;1;NA;NA
SN35090:0;9.098;58.8037;42;NA;2;1;NA;NA
SN35200:0;8.9486;58.8856;240;NA;2;1;NA;NA
SN37500:0;8.1517;59.3242;532;NA;2;1;NA;NA
SN3780:0;11.0468;59.636;144;NA;2;1;NA;NA
SN38380:0;8.0392;58.5234;259;NA;2;1;NA;NA
SN38421:0;8.2893;58.4213;67;NA;2;1;NA;NA
SN38600:0;8.2888;58.633;245;NA;2;1;NA;NA
SN38800:0;8.2295;58.7938;220;NA;2;1;NA;NA
SN39220:0;7.89;58.2153;151;NA;2;1;NA;NA
SN4040:0;11.1532;59.7512;164;NA;2;1;NA;NA
