souid;lat;lon;value;elev;prid;dqc;sct;rep
1588;59.27244;10.48305;0.1;0;2;0;1.11;NA
1592;63.36281;10.39512;0;0;2;1;NA;NA
1595;59.88256;10.61264;0.1;0;2;0;0;NA
1612;58.73228;5.66379;0;0;2;1;NA;NA
1616;59.41509;10.47795;0.2;0;2;0;0.28;NA
1622;60.20816;11.63531;0;0;2;8;NA;NA
1642;59.01291;10.00492;0.2;0;2;0;0.08;NA
1650;59.92232;5.79092;0;0;2;1;NA;NA
1664;60.26204;5.24853;0;0;2;1;NA;NA
1669;58.97885;5.68906;0;0;2;1;NA;NA
1680;59.76964;10.81357;0.2;0;2;0;2.62;NA
1682;60.39752;6.50315;0.2;0;2;1;NA;NA
1688;63.55673;10.67542;0;0;2;1;NA;NA
1706;60.32224;5.37587;0;0;2;1;NA;NA
1708;59.76293;10.03749;0.2;0;2;0;0.78;NA
1712;59.92623;10.75196;0.2;0;2;0;0.73;NA
1717;59.49652;10.29235;0.4;0;2;0;0.04;NA
1721;59.92033;10.96808;0;0;2;0;0.85;NA
1723;59.01146;9.74347;0.1;0;2;0;1.11;NA
1735;60.36508;6.07566;0;0;2;1;NA;NA
1762;59.64296;6.29376;0;0;2;1;NA;NA
1765;60.12404;12.31414;0.1;0;2;1;NA;NA
1769;62.65017;11.52747;0;0;2;1;NA;NA
1773;60.21388;5.38788;0;0;2;1;NA;NA
1787;59.905;10.7487;0.1;0;2;0;0.06;NA
1801;59.88678;11.56526;0;0;2;0;3.03;NA
1820;62.40181;6.58402;0;0;2;1;NA;NA
1825;59.2039;9.58139;0.3;0;2;0;0.13;NA
1838;60.45783;5.13182;0;0;2;1;NA;NA
1850;59.12976;10.27994;0.1;0;2;0;0.08;NA
1875;60.63259;12.02393;0.2;0;2;1;NA;NA
1886;59.17542;8.57749;1.1;0;2;1;NA;NA
1895;60.18597;12.09735;0.1;0;2;7;1.27;NA
1909;62.51685;7.76789;0;0;2;1;NA;NA
1910;63.39353;10.37059;0;0;2;1;NA;NA
1929;59.93876;10.71354;0.2;0;2;0;0.22;NA
1937;58.1293;8.0915;0;0;2;1;NA;NA
1945;59.74471;8.86732;0.5;0;2;1;NA;NA
1948;61.96505;5.95132;0;0;2;1;NA;NA
1955;61.10326;10.50852;0;0;2;1;NA;NA
1957;59.98157;11.23797;0;0;2;0;0.4;NA
1963;63.51245;10.82199;0;0;2;1;NA;NA
1970;59.56511;10.58408;0.3;0;2;0;0.34;NA
1979;59.10697;10.90709;0.1;0;2;0;0.06;NA
1981;59.7699;5.49725;0.2;0;2;1;NA;NA
1985;59.76772;9.67734;0.8;0;2;0;0.15;NA
1994;59.67683;9.6382;0.9;0;2;0;0.17;NA
2011;59.91091;10.51932;0.1;0;2;0;0.31;NA
2012;58.192;7.93678;0;0;2;1;NA;NA
2015;59.52044;5.27935;0.1;0;2;1;NA;NA
2016;61.05309;7.56038;0;0;2;1;NA;NA
2021;58.51781;7.69381;1.1;0;2;1;NA;NA
2024;58.98836;10.02772;0.1;0;2;0;0.34;NA
2026;67.29168;14.61228;0;0;2;1;NA;NA
2034;60.35487;10.6165;0.4;0;2;0;0.03;NA
2036;58.92843;5.73802;0;0;2;1;NA;NA
2037;59.91084;10.609;0.3;0;2;0;1.69;NA
2044;59.89532;10.58218;0.1;0;2;0;0.03;NA
2051;58.88526;6.00887;0;0;2;1;NA;NA
2053;59.21704;9.59761;0.3;0;2;0;0.08;NA
2057;59.83489;5.77381;0;0;2;1;NA;NA
2062;68.1273;13.54084;0;0;2;1;NA;NA
2065;63.43868;10.63904;0;0;2;1;NA;NA
2071;58.48763;7.91902;0.1;0;2;1;NA;NA
2074;60.32574;5.27719;0;0;2;1;NA;NA
2082;58.89643;5.72853;0.1;0;2;1;NA;NA
2087;61.37934;7.28152;0;0;2;1;NA;NA
2106;59.73882;11.80495;0.4;0;2;7;0.01;NA
2109;59.9396;10.75345;0;0;2;13;NA;NA
2111;60.35779;5.36581;0;0;2;1;NA;NA
2118;60.40659;5.32626;0;0;2;1;NA;NA
2122;59.93845;11.17079;0.1;0;2;0;3.62;NA
2135;58.44852;8.78864;0;0;2;1;NA;NA
2144;63.75251;11.23303;0;0;2;1;NA;NA
2154;59.17286;11.38108;0;0;2;5;5.35;NA
2163;60.85378;10.9907;0;0;2;1;NA;NA
2172;59.60036;9.79194;0.9;0;2;0;0.04;NA
2174;58.85242;5.89538;0;0;2;1;NA;NA
2179;59.44314;10.6153;0.2;0;2;0;0.01;NA
2182;59.91613;10.71083;0;0;2;5;4.02;NA
2185;59.59421;5.57479;0;0;2;1;NA;NA
2196;59.5639;9.29786;0.6;0;2;0;0.08;NA
2199;60.49065;5.3864;0;0;2;1;NA;NA
2201;60.13742;11.16637;0.2;0;2;0;0.21;NA
2208;58.74065;5.73939;0;0;2;1;NA;NA
2218;62.43887;6.17512;0;0;2;1;NA;NA
2219;58.03424;7.46919;0;0;2;1;NA;NA
2229;62.36384;5.53831;0;0;2;1;NA;NA
2230;59.92986;11.13457;0;0;2;0;0.09;NA
2234;60.4459;5.17515;0;0;2;1;NA;NA
2238;61.33521;12.17121;0;0;2;1;NA;NA
2243;59.54804;5.84967;0;0;2;1;NA;NA
2258;63.40465;10.40487;0;0;2;1;NA;NA
2263;62.15083;6.07705;0;0;2;1;NA;NA
2264;59.87601;10.80504;0.1;0;2;0;0.61;NA
2266;60.33737;5.29415;0;0;2;1;NA;NA
2269;61.93277;5.11136;0;0;2;1;NA;NA
2278;62.43544;6.37923;0;0;2;1;NA;NA
2282;58.9162;5.69334;0;0;2;1;NA;NA
2283;59.04123;11.05602;0.2;0;2;0;0.07;NA
2284;59.40994;10.46764;0.3;0;2;0;0.08;NA
2291;59.68673;10.34894;0.3;0;2;8;NA;NA
2294;58.74101;5.74433;0;0;2;1;NA;NA
2299;58.62137;5.65005;0;0;2;1;NA;NA
2300;60.52934;11.9894;0.2;0;2;1;NA;NA
2302;59.92679;10.68374;0;0;2;13;NA;NA
2307;63.09245;7.81056;0;0;2;1;NA;NA
2317;59.40353;5.2873;0;0;2;1;NA;NA
2322;59.9442;10.74734;0.1;0;2;0;0.13;NA
2323;60.29212;5.07709;0;0;2;1;NA;NA
2330;60.26028;11.05226;0.2;0;2;0;0.42;NA
2341;60.24063;10.38558;0.1;0;2;8;NA;NA
2342;67.23714;14.62322;0;0;2;1;NA;NA
2346;59.93496;10.713;0.2;0;2;0;0.28;NA
2347;60.74668;10.76062;0.1;0;2;1;NA;NA
2373;59.944;10.82635;0.1;0;2;4;NA;NA
2388;59.95619;10.69003;0.2;0;2;0;0.02;NA
2390;59.2935;10.75449;0.2;0;2;0;0.08;NA
2397;59.93101;11.02865;0.1;0;2;0;2.1;NA
2399;60.00483;10.9297;0.2;0;2;0;0.81;NA
2402;59.0206;8.5202;0.3;0;2;1;NA;NA
2407;58.81752;5.73862;0;0;2;1;NA;NA
2411;59.12398;10.29072;0.1;0;2;0;0.02;NA
2412;62.61845;7.09092;0;0;2;1;NA;NA
2413;59.03403;9.71149;0.2;0;2;0;0.04;NA
2421;59.43446;10.69365;0.1;0;2;0;0.67;NA
2432;59.28481;6.14016;0;0;2;1;NA;NA
2434;63.43861;10.62468;0;0;2;1;NA;NA
2435;62.23562;5.80336;0;0;2;1;NA;NA
2436;59.65735;9.63309;1.1;0;2;0;1.56;NA
2438;58.85951;5.76897;0.1;0;2;1;NA;NA
2446;63.11849;8.30562;0;0;2;1;NA;NA
2450;60.26817;10.4752;0.4;0;2;0;0.32;NA
2453;67.29116;14.57224;0;0;2;1;NA;NA
2455;58.44948;5.99474;0.5;0;2;1;NA;NA
2457;60.06383;11.08198;0.1;0;2;0;0;NA
2461;60.04131;5.52356;0.1;0;2;1;NA;NA
2469;68.41974;17.37259;0;0;2;1;NA;NA
2470;60.46388;5.4334;0;0;2;1;NA;NA
2472;59.30722;11.12584;0.2;0;2;0;0.16;NA
2473;58.8881;5.60879;0;0;2;1;NA;NA
2482;59.1303;10.40122;0.1;0;2;0;0.08;NA
2487;59.21054;9.57878;0.3;0;2;0;0.18;NA
2492;63.4382;10.60296;0;0;2;1;NA;NA
2496;58.70033;5.56592;0.1;0;2;1;NA;NA
2498;59.44769;5.39359;0.1;0;2;1;NA;NA
2510;60.37978;5.15724;0;0;2;1;NA;NA
2511;59.09456;5.77566;0;0;2;1;NA;NA
2518;60.38554;5.29734;0;0;2;1;NA;NA
2524;59.82932;10.68781;0;0;2;0;3.04;NA
2529;59.13215;10.23233;0.1;0;2;0;0.33;NA
2544;59.66938;10.53146;0.1;0;2;0;0.01;NA
2550;60.80656;11.13056;0;0;2;1;NA;NA
2558;60.0519;5.50797;0.2;0;2;1;NA;NA
2559;62.22906;6.27133;0;0;2;1;NA;NA
2563;59.88607;10.83677;0.1;0;2;0;0.82;NA
2568;59.40865;10.45827;0.4;0;2;0;0.64;NA
2572;60.28842;5.39079;0;0;2;1;NA;NA
2581;63.5391;11.85651;0;0;2;1;NA;NA
2591;58.82836;5.75453;0;0;2;1;NA;NA
2596;62.34279;5.86139;0;0;2;1;NA;NA
2608;59.93169;10.76586;0.1;0;2;0;0;NA
2611;60.5499;9.13939;1.2;0;2;1;NA;NA
2619;62.53634;6.57616;0;0;2;1;NA;NA
2620;59.13371;10.22774;0.3;0;2;0;1.05;NA
2626;63.79104;11.50161;0;0;2;1;NA;NA
2627;59.9127;10.7461;0;0;2;5;4.01;NA
2628;59.78375;10.44749;0.1;0;2;0;0.1;NA
2629;58.95808;5.62494;0;0;2;1;NA;NA
2631;59.79361;5.18695;0.1;0;2;1;NA;NA
2632;59.95;10.75;0;0;2;13;NA;NA
2635;59.70919;10.82692;0.2;0;2;0;1.04;NA
2642;63.01396;7.96835;0;0;2;1;NA;NA
2649;60.70123;8.99977;0.4;0;2;1;NA;NA
2655;68.2181;14.4824;0;0;2;1;NA;NA
2661;59.75519;10.83597;0.1;0;2;0;0.39;NA
2669;62.18535;6.14109;0;0;2;1;NA;NA
2672;63.43282;10.60369;0;0;2;1;NA;NA
2674;59.03088;6.034;0;0;2;1;NA;NA
2683;59.40085;9.20743;0;0;2;8;NA;NA
2684;59.96751;10.64369;0.3;0;2;0;0.14;NA
2685;58.27234;8.50318;0;0;2;1;NA;NA
2700;58.95918;5.7001;0;0;2;1;NA;NA
2701;59.26677;11.1466;0.1;0;2;0;0.05;NA
2708;59.9617;10.6542;0.1;0;2;0;1.2;NA
2715;68.03505;16.01634;0;0;2;1;NA;NA
2725;62.58944;9.66199;0;0;2;1;NA;NA
2732;62.26551;10.7717;0;0;2;1;NA;NA
2740;58.65947;5.65628;0;0;2;1;NA;NA
