lat;lon;elev;value;prid;dqc;sct;rep
59.67249;10.24877;86;4;3;0;6.08;NA
59.75519;10.83597;117;0.6;3;0;0.04;NA
59.76293;10.03749;150;3.6;3;0;0.03;NA
59.89825;10.50219;67;1.3;3;0;0.13;NA
59.19797;12.59921;91;5.1;3;0;1.01;NA
58.78238;11.23027;19;0.3;3;0;1.16;NA
59.89234;10.53219;16;1.1;3;0;0.38;NA
59.22998;10.74296;10;1.1;3;0;0.03;NA
59.94966;10.75635;118;2.6;3;0;0.26;NA
59.13353;11.40545;102;0;3;8;NA;NA
59.88879;10.83839;140;1.6;3;12;0.09;NA
59.75637;10.4626;141;1.4;3;0;0.09;NA
59.73781;10.1696;11;0;3;13;NA;NA
59.00873;9.7309;56;3.6;3;0;0.05;NA
59.90509;10.82335;102;1.4;3;0;1.31;NA
59.33706;10.26238;21;3.4;3;0;0.26;NA
58.88812;9.29925;43;4.1;3;0;0.56;NA
59.93199;10.79804;121;0.1;3;13;NA;NA
59.66009;11.01917;131;0.6;3;0;0.16;NA
59.32056;10.70264;13;0.8;3;12;1.1;NA
59.95;10.75;118;5.7;3;4;NA;NA
59.6523;9.66958;233;0;3;13;NA;NA
60.35948;11.23309;178;1.1;3;8;NA;NA
60.07344;10.99537;220;0.8;3;8;NA;NA
59.02321;9.71314;71;3.7;3;0;0.03;NA
60.00483;10.9297;146;1.7;3;0;0.04;NA
59.2935;10.75449;11;1;3;0;0.11;NA
59.53601;10.08709;81;2.5;3;8;NA;NA
59.93101;11.02865;219;1.2;3;12;0.69;NA
58.40134;8.70233;5;0.8;3;12;1.14;NA
59.53679;10.09236;54;3.4;3;0;0.03;NA
59.84475;11.18575;104;0.1;3;8;NA;NA
59.27434;10.75033;18;1.2;3;0;0.14;NA
58.46008;8.74622;39;0.8;3;8;NA;NA
59.12043;9.9194;60;5.4;3;0;1.37;NA
59.22063;10.89012;45;1;3;12;0.09;NA
59.21534;10.13441;85;4;3;0;0.05;NA
59.64903;9.63713;212;0;3;13;NA;NA
60.1618;10.33119;258;0;3;13;NA;NA
59.89928;10.79414;130;2.1;3;0;0.36;NA
59.93883;10.59325;133;1.9;3;0;0.5;NA
58.87003;9.4073;24;2.8;3;0;0.01;NA
59.93974;10.73304;98;2.9;3;0;1.3;NA
59.12976;10.27994;13;2.7;3;0;0.34;NA
59.40131;10.4801;23;1.3;3;0;0.02;NA
60.00881;11.03456;184;1.3;3;0;0;NA
59.6871;9.63235;198;4.5;3;0;0.42;NA
59.92046;10.65791;52;1.8;3;0;0.04;NA
59.92374;10.60157;78;1.1;3;0;1.17;NA
59.42106;10.46532;46;1.2;3;8;NA;NA
59.53219;10.68404;32;0.6;3;8;NA;NA
59.93117;10.81575;134;2.2;3;0;0.12;NA
60.26984;11.18992;192;0.9;3;8;NA;NA
59.90822;10.78717;36;0.1;3;13;NA;NA
58.96722;9.49903;108;4.3;3;0;0.67;NA
59.66266;9.64522;167;6.2;3;0;0.33;NA
59.11083;9.65277;61;3.8;3;0;0.04;NA
59.93655;10.66068;117;2;3;0;0.06;NA
59.93528;10.69011;49;2.7;3;0;1.28;NA
60.08795;10.99357;205;0;3;8;NA;NA
59.12853;11.18182;9;0.9;3;12;0.74;NA
59.76429;9.92803;13;3.4;3;0;0.07;NA
59.83196;10.78148;79;1;3;12;0.29;NA
59.80344;10.82324;156;1.4;3;12;1;NA
59.3773;10.46436;19;1.5;3;0;0;NA
58.423;8.72925;9;1;3;0;0;NA
59.11458;10.2488;47;3.4;3;0;0;NA
59.86353;10.53429;19;0;3;13;NA;NA
60.00484;10.926;146;0.8;3;4;NA;NA
59.12415;10.92442;4;0;3;8;NA;NA
59.41248;10.27895;112;3.3;3;0;1.84;NA
59.8311;9.31177;611;5.9;3;0;0.11;NA
60.06628;8.95081;955;2.2;3;8;NA;NA
59.37989;10.75316;36;0.5;3;8;NA;NA
60.15422;10.25156;119;2.5;3;0;0.03;NA
59.59159;9.78646;71;4.5;3;0;0.19;NA
59.6683;9.66365;225;3.7;3;0;1.5;NA
59.2597;10.40064;50;3.1;3;0;1.13;NA
59.52308;10.45385;74;0.8;3;12;0.27;NA
60.52687;12.0951;168;0.7;3;8;NA;NA
59.88149;10.77834;108;2;3;12;0.55;NA
59.22259;10.91146;15;1.3;3;12;0.39;NA
59.12399;8.51301;322;2.6;3;0;0.81;NA
59.92113;10.69426;21;2.1;3;0;0.18;NA
59.88256;10.61264;7;1.1;3;0;0.28;NA
